MACRO_GENSPECIES,PHYLUM,CLAS,ORDR,FAMILY,SUBFAMILY,HBI_TOLERANCE,FEEDINGHAB,REFERENCE,CLASSIFIER,PREVNAMES,TOLNAME,NBI-P_TOLERANCE,NBI-N_TOLERANCE,MACRO_TSN
Ophidonais serpentina,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68996
Ophidonais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68995
Ophiogomphus carolus,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,3,prd,"83, 122",Insects-other,,intolerant,,,101745
Ophiogomphus mainensis,ARTHROPODA,INSECTA,Odonata,Gomphidae,,6,prd,"83, 122",Insects-Other,,facultative,,,101739
Ophiogomphus sp.,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,3,prd,"83,122",Insects-other,,intolerant,1,3,101738
Optioservus cryophilus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,,intolerant,,,114183
Optioservus fastiditus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,,intolerant,6,7,114190
Optioservus immunis,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,,intolerant,,,114184
Optioservus nr. sandersoni,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,,intolerant,,,114189
Optioservus ovalis,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,,intolerant,9,4,114185
Optioservus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,"83,19",Coleoptera,,intolerant,7,8,114177
Optioservus trivittatus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,,intolerant,7,6,114186
Orconectes obscurus,ARTHROPODA,CRUSTACEA,DECAPODA,Cambaridae,,6,c-g,"83,108,5",Crustacea,,facultative,,,97466
Orconectes propinquus,ARTHROPODA,CRUSTACEA,DECAPODA,Cambaridae,,6,c-g,"83,108,5",Crustacea,,facultative,,,97473
Orconectes rusticus,ARTHROPODA,CRUSTACEA,DECAPODA,Cambaridae,,6,c-g,"83,108,5",Crustacea,,facultative,,,97424
Orconectes sp.,ARTHROPODA,CRUSTACEA,DECAPODA,Cambaridae,,6,c-g,"83,108,5",Crustacea,,facultative,,,97421
Oreogeton sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,prd,83,Insects-other,,facultative,,,136377
Ormosia sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,4,c-g,83,Insects-other,,intolerant,,,120830
Orthocladiinae sp. C,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,c-g,36,Chironomidae,,facultative,,,128457
Orthocladius (Eudactylocladius) sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,,facultative,,,568517
Orthocladius (Euorthoclad.) luteipes,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,"109,110",Chironomidae,"Orthocladius (Euorthocladius) Type I sp.,Orthocladius (Euorthoclad.Type III spp.,Eukiefferiella sp7",facultative,,,
Orthocladius (Euorthoclad.) rivicola,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,"109,110",Chironomidae,"Orthocladius (Euorthoclad.) Type I sp.,Orthocladius (Euorthoclad.) Type III spp.,Eukiefferiella sp7",facultative,,,
Orthocladius (Euorthoclad.) rivulorum,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,"109,110",Chironomidae,Orthocladius (Euorthoclad.) Type II spp.,facultative,,,
Orthocladius (Euorthoclad.) sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,"109,110",Chironomidae,,facultative,,,568520
Orthocladius (Symposiocladius) lignicola,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,c-g,124,Chironomidae,"Symposiocladius lignicola, Orthoclad Genus B acutilabis",facultative,,,
Orthocladius annectens,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,Cricotopus sp. 4,facultative,,,128878
Orthocladius carlatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,,facultative,,,128882
Orthocladius curtiseta,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,,facultative,,,128889
Orthocladius dorenus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,36,Chironomidae,,facultative,,,128898
Orthocladius dubitatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,36,Chironomidae,,facultative,,,128901
Orthocladius nr. dentifer,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,,facultative,3,7,128895
Orthocladius nr. robacki,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,,facultative,,,128929
Orthocladius obumbratus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,"Orthocladius sp. 1, Orthocladius sp.",facultative,,,128923
Orthocladius oliverei,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,,facultative,,,128926
Orthocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,"124,83",Chironomidae,,facultative,,,128874
Orthocladius trigonolabis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,109,Chironomidae,,facultative,,,128934
Orthocladius vaillanti,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,36,Chironomidae,,facultative,,,
Orthotrichia sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,shr,125,Trichoptera,,facultative,,,115828
Ostrocerca sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,2,shr,"83,114",Plecoptera,,intolerant,,,102622
Oulimnius latiusculus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,Optioservus cryophilus,intolerant,,,114245
Oulimnius nitidulus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,,intolerant,,,114246
Oulimnius sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,4,scr,19,Coleoptera,,intolerant,,,114244
Oxyethira sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,3,c-g,125,Trichoptera,,intolerant,,,115779
Pagastia orthogonia,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,1,c-g,"79,36",Chironomidae,"Pagastia sp. A, Pagastia sp.,  Pseudodiamesa sp. 1",intolerant,4,8,128402
Pagastiella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,c-g,83,Chironomidae,,facultative,,,129561
Palaeagapetus celsus,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,4,shr,125,Trichoptera,,intolerant,,,115851
Palaeagapetus sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,1,shr,125,Trichoptera,,intolerant,,,115849
Paraboreochlus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Podonominae,1,c-g,124,Chironomidae,,intolerant,,,127977
Paracapnia sp.,ARTHROPODA,INSECTA,PLECOPTERA,Capniidae,,1,shr,114,Plecoptera,,intolerant,,,102804
Parachaetocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,2,c-g,"124,83",Chironomidae,,intolerant,,,128951
Parachironomus abortivus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,prd,106,Chironomidae,Cryptochironomus abortivus,tolerant,,,129565
Parachironomus carinatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,prd,106,Chironomidae,,tolerant,,,129569
Parachironomus frequens,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,prd,106,Chironomidae,"Parachironomus pectinatellae, Cryptochironomus sp. 2",tolerant,,,129579
Parachironomus hirtalatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,prd,106,Chironomidae,,tolerant,,,129595
Parachironomus potamogeton,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,prd,106,Chironomidae,,tolerant,,,129585
Parachironomus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,prd,106,Chironomidae,,tolerant,,,129564
Paracladopelma nais,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,c-g,58,Chironomidae,"Paracladopelma sp., Parachironomus nais, Cryptochironomus nais",facultative,,,129606
Paracladopelma nereis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,c-g,58,Chironomidae,,facultative,,,129608
Paracladopelma sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,c-g,58,Chironomidae,,facultative,,,129597
Paracloeodes sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,9,scr,,Ephemeroptera,,tolerant,,,100899
Paracricotopus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,"124,83",Chironomidae,,intolerant,,,128962
Paragnetina immarginata,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,1,prd,"55,114",Plecoptera,,intolerant,1,2,102966
Paragnetina media,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,prd,"55,114",Plecoptera,Acroneuria ruralis,intolerant,6,3,102968
Paragnetina sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,2,prd,"55,114",Plecoptera,,intolerant,1,6,102962
Parakiefferiella coronata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,c-g,"124,83",Chironomidae,,intolerant,,,128974
Parakiefferiella nr. triquetra,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,36,Chironomidae,,intolerant,,,
Parakiefferiella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,"124,83",Chironomidae,"Psectrocladius sp. 3, Psectrocladius sp. 3A, Psectrocladius sp. 3B, Psectrocladius sp. 2A",intolerant,,,128968
Paralauterborniella nigrohalteralis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,8,c-g,8,Chironomidae,,tolerant,,,129619
Paralauterborniella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,8,c-g,124,Chironomidae,,tolerant,,,129616
Paraleptophlebia adoptiva,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,c-g,24,Ephemeroptera,,intolerant,,,101203
Paraleptophlebia debilis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,c-g,24,Ephemeroptera,,intolerant,,,101193
Paraleptophlebia guttata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,c-g,24,Ephemeroptera,Paraleptophlebia sp.,intolerant,,,101211
Paraleptophlebia moerens,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,c-g,24,Ephemeroptera,Paraleptophlebia sp.,intolerant,,,101217
Paraleptophlebia mollis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,c-g,24,Ephemeroptera,Paraleptophlebia sp.,intolerant,2,1,101218
Paraleptophlebia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,c-g,83,Ephemeroptera,,intolerant,2,3,101187
Paraleptophlebia volitans,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,1,c-g,24,Ephemeroptera,,intolerant,,,101199
Paralimnophyes sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,83,Chironomidae,,facultative,,,128976
Paramerina sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,83,Chironomidae,Pentaneura sp. 2,facultative,,,128207
Parametriocnemus lundbecki,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,c-g,106,Chironomidae,"Heterotrissocladius sp. 1, Trichocladius sp. 1",facultative,8,10,128982
Parametriocnemus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,c-g,106,Chironomidae,,facultative,,,128978
Paranais frici,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,c-g,61,Oligochaeta,,tolerant,,,68865
Paranais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,c-g,61,Oligochaeta,,tolerant,,,68862
Paraphaenocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,"124,83",Chironomidae,,intolerant,,,128989
Parapoynx sp.,ARTHROPODA,INSECTA,LEPIDOPTERA,Pyralidae,,5,shr,"83,66",Insects-other,,facultative,,,117714
Parapsyche apicalis,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,0,c-f,,Trichoptera,,intolerant,,,115557
Parapsyche sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,0,c-f,125,Trichoptera,,intolerant,,,115556
Paratanytarsus confusus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-f,87,Chironomidae,"Paratanytarsus nr. dissimilis, Paratanytarsus sp. B, Tanytarsus sp. 2",facultative,5,8,
Paratanytarsus dimorphis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-f,87,Chironomidae,"Cladotanytarsus sp. 3, Paratanytarsus sp. A, Paratanytarsus sp. 2,  Tanytarsus sp. 2",facultative,,,
Paratanytarsus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-f,87,Chironomidae,,facultative,,,129935
Paratendipes albimanus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-g,106,Chironomidae,,facultative,,,129624
Paratendipes sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-g,106,Chironomidae,,facultative,,,129623
Paratendipes subequalis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,,6,c-g,106,Chironomidae,,facultative,,,
Paratrichocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,shr,"124,83",Chironomidae,Cricotopus reversus gr.,facultative,,,129005
Parorthocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,,Chironomidae,,facultative,,,129011
Pedicia sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,4,prd,83,Insects-other,,intolerant,,,121118
Peloscolex ferox,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,6,c-g,"18,83",Oligochaeta,"Peloscolex sp., Spirosperma ferox",tolerant,,,68609
Peloscolex sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,6,c-g,"18, 83",Oligochaeta,,tolerant,,,68588
Peltodytes sp.,ARTHROPODA,INSECTA,COLEOPTERA,Haliplidae,,5,shr,"83,123",Coleoptera,,facultative,,,111923
Peltoperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Peltoperlidae,Peltoperlinae,2,shr,,Plecoptera,,intolerant,,,102489
Pentaneura inconspicua,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"90,36",Chironomidae,,facultative,,,128216
Pentaneura sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,83,Chironomidae,,facultative,0,1,128215
Pericoma sp.,ARTHROPODA,INSECTA,DIPTERA,Psychodidae,,4,c-g,"83,117",Insects-other,,intolerant,,,125514
Perlesta placida,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,prd,114,Plecoptera,,intolerant,,,103253
Perlesta sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,prd,114,Plecoptera,Perlesta placida,intolerant,,,103251
Perlesta sp. 1,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,prd,114,Plecoptera,Perlesta placida,intolerant,,,103251
Perlesta sp. 2,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,4,prd,114,Plecoptera,Perlesta placida,intolerant,,,103251
Petrophila sp.,ARTHROPODA,INSECTA,LEPIDOPTERA,Pyralidae,,5,scr,"83,66",Insects-other,"Elophila sp.,Paragyractis sp.",facultative,5,3,117682
Phaenopsectra dyari,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,,106,,,,,,129640
Phaenopsectra flavipes,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,7,,36,,,,,,129642
Phaenopsectra obdiens gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,scr,106,Chironomidae,"Phaenopsectra sp. 1, Phaenopsectra sp., Phaenopsectra dyari?",facultative,4,5,129647
Phaenopsectra punctipes gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,scr,106,Chironomidae,"Tribelos sp. 2, Phaenopsectra flavipes",facultative,,,129652
Phaenopsectra sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,scr,124,Chironomidae,,facultative,,,129637
Phryganea sp.,ARTHROPODA,INSECTA,Trichoptera,Phryganeidae,,4,c-g,,Trichoptera,,facultative,,,115892
Phylocentropus sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Dipseudopsidae,,5,c-f,125,Trichoptera,,facultative,,,115361
Physella ancillaria,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Physidae,,8,c-g,"83,60",Mollusca,,tolerant,,,76701
Physella gyrina,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Physidae,,8,c-g,"83,60",Mollusca,"Physa gyrina, Physa elliptica, Physa sayii",tolerant,,,76735
Physella heterostropha,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Physidae,,8,c-g,"83,60",Mollusca,Physa heterostropha,tolerant,,,76736
Physella integra,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Physidae,,8,c-g,"83,60",Mollusca,Physa integra,tolerant,,,76738
Physella sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Physidae,,8,c-g,"83,60",Mollusca,Physa sp.,tolerant,8,7,76698
Piguetiella michiganensis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,18,Oligochaeta,,facultative,,,68994
Piguetiella sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,18,Oligochaeta,,facultative,,,68992
Pilaria sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,7,prd,25,Insects-other,,facultative,,,120335
Pisidium amnicum,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,c-f,"68,22",Mollusca,,facultative,,,81401
Pisidium casertanum,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,c-f,"68,22",Mollusca,,facultative,,,81405
Pisidium compressum,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,c-f,"68,22",Mollusca,,facultative,,,81406
Pisidium sp.,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,c-f,83,Mollusca,,facultative,8,10,81400
Pisidium variabile,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,c-f,"68,22",Mollusca,,facultative,,,81418
Placobdella montifera,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,"83,63",Other,,tolerant,,,69368
Placobdella sp.,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,"83,63",Other,,tolerant,,,69363
Platycentropus sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Limnephilidae,,4,shr,125,Trichoptera,,intolerant,,,116407
Plauditus cestus,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,,Ephemeroptera,,intolerant,,,568607
Plauditus dubius,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,67,Ephemeroptera,,intolerant,,,609559
Plauditus sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,67,Ephemeroptera,,intolerant,2,6,568553
Pleurocera acuta,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,scr,"60,83",Mollusca,,facultative,,,71550
Pleurocera sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,scr,"60,83",Mollusca,,facultative,,,71549
Polycentropus remotus,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropodidae,,6,prd,"125,98",Trichoptera,,facultative,,,117064
Polycentropus sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropodidae,,6,prd,125,Trichoptera,,facultative,4,2,117044
Polypedilum (Tripodura) sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,,facultative,,,129657
Polypedilum aviceps,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,4,shr,69,Chironomidae,,facultative,5,7,129666
Polypedilum bergi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,shr,"111,69",Chironomidae,,facultative,,,129726
Polypedilum braseniae,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,3,c-g,,Chironomidae,,intolerant,,,129667
Polypedilum digitifer,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,8,shr,"69,111",Chironomidae,,facultative,,,129675
Polypedilum fallax gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,Polypedilum sp. 3,facultative,,,129676
Polypedilum flavum,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,"Polypedilum convictum, Polypedilum sp. 1",facultative,9,7,
Polypedilum griseopunctatum,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,111,Chironomidae,,facultative,,,129682
Polypedilum halterale gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,"69,36",Chironomidae,Polypedilum halterale,facultative,,,129684
Polypedilum illinoense,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,shr,69,Chironomidae,Polypedilum sp. 1,facultative,10,7,129686
Polypedilum laetum,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,,facultative,7,6,129692
Polypedilum obtusum,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,,facultative,,,129697
Polypedilum ontario,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,3,shr,69,Chironomidae,,facultative,,,129698
Polypedilum scalaenum gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,"Polypedilum scalaenum, Polypedilum nr. scalaenum, Polypedilum sp. 4",facultative,10,6,129708
Polypedilum simulans gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,,facultative,,,129711
Polypedilum sordens,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,,facultative,,,129712
Polypedilum sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,,facultative,,,129657
Polypedilum trigonum,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,shr,36,Chironomidae,,facultative,,,129718
Polypedilum tritum,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,shr,69,Chironomidae,,facultative,,,129719
Polypedilum tuberculum,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,shr,69,Chironomidae,,facultative,,,
Pomatiopsis lapidaria,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Hydrobiidae,,8,scr,"51,22",Mollusca,,tolerant,,,70737
Pomatiopsis sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Hydrobiidae,,8,scr,"51,22",Mollusca,,tolerant,,,70736
Potamothrix moldaviensis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68789
Potamothrix sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,8,c-g,18,Oligochaeta,,tolerant,,,68786
Potamothrix vejdovskyi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,8,c-g,18,Oligochaeta,,tolerant,,,68790
Potamyia sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,5,c-f,125,Trichoptera,,facultative,,,115551
Potthastia gaedii gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,2,c-g,"124,36",Chironomidae,"Potthastia gaedii, Smittia sp., Sympotthastia sp.",intolerant,9,10,128409
Potthastia longimana gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,2,c-g,"105,36",Chironomidae,"Potthastia longimana, Potthastia sp.",intolerant,,,128412
Potthastia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Diamesinae,2,c-g,36,Chironomidae,,intolerant,,,128408
Pristina aequiseta,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,Pristina foreli,tolerant,,,68879
Pristina breviseta,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68880
Pristina leidyi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68894
Pristina menoni,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68886
Pristina sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68876
Pristina synclites,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68895
Pristinella jenkinae,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,69030
Pristinella osborni,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,"Pristina osborni, Pristina sima, Naidium sp., Naidium sp. 1",tolerant,,,69026
Pristinella sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,69024
Probezzia sp.,ARTHROPODA,INSECTA,DIPTERA,Ceratopogonidae,,6,prd,83,Insects-other,,facultative,,,127729
Probezzia sp. 1,ARTHROPODA,INSECTA,DIPTERA,Ceratopogonidae,,6,prd,83,Insects-other,,facultative,,,127729
Probezzia sp. 2,ARTHROPODA,INSECTA,DIPTERA,Ceratopogonidae,,6,prd,83,Insects-other,,facultative,,,127729
